time,open,high,low,close,volume
1760160600000,112016.36000000,112249.86000000,112000.76000000,112034.01000000,249.64796000
1760161500000,112034.01000000,112516.88000000,112034.00000000,112389.48000000,310.39031000
1760162400000,112389.48000000,112610.37000000,112134.02000000,112366.16000000,245.44487000
1760163300000,112366.16000000,112753.91000000,112322.14000000,112676.56000000,291.76155000
1760164200000,112676.56000000,112676.56000000,112090.01000000,112149.71000000,316.44826000
1760165100000,112149.71000000,112311.05000000,112000.00000000,112045.99000000,354.98536000
1760166000000,112046.00000000,112084.61000000,111000.00000000,111397.90000000,921.66671000
1760166900000,111397.90000000,111397.90000000,110683.60000000,110754.18000000,925.69877000
1760167800000,110754.18000000,110999.99000000,110501.78000000,110632.88000000,632.46676000
1760168700000,110632.89000000,110672.60000000,110090.29000000,110384.61000000,750.68097000
1760169600000,110384.60000000,110510.88000000,110162.23000000,110274.46000000,482.79688000
1760170500000,110274.46000000,111111.11000000,110267.92000000,110949.22000000,669.39360000
1760171400000,110949.22000000,111300.00000000,110731.66000000,111242.26000000,412.87350000
1760172300000,111242.27000000,111535.29000000,111242.26000000,111328.38000000,416.13296000
1760173200000,111328.38000000,111682.68000000,111274.41000000,111550.16000000,416.88362000
1760174100000,111550.15000000,111796.24000000,111451.99000000,111757.95000000,441.72969000
1760175000000,111757.95000000,111887.19000000,111497.55000000,111823.15000000,424.16229000
1760175900000,111823.16000000,111840.17000000,111590.65000000,111642.78000000,344.50800000
1760176800000,111642.78000000,111964.60000000,111621.77000000,111894.67000000,280.48706000
1760177700000,111894.67000000,112204.64000000,111750.01000000,112197.42000000,538.36550000
1760178600000,112197.42000000,112271.34000000,111955.58000000,112027.74000000,375.88988000
1760179500000,112027.74000000,112189.49000000,112000.29000000,112114.64000000,156.00946000
1760180400000,112114.63000000,112152.12000000,111908.75000000,112034.00000000,193.84007000
1760181300000,112033.99000000,112350.00000000,111700.00000000,112350.00000000,383.56908000
1760182200000,112350.00000000,112354.59000000,112184.87000000,112337.21000000,234.71329000
1760183100000,112337.20000000,112359.67000000,112114.50000000,112280.00000000,157.78504000
1760184000000,112280.01000000,112314.84000000,112037.98000000,112107.25000000,320.10754000
1760184900000,112107.26000000,112466.66000000,112081.86000000,112466.66000000,194.15397000
1760185800000,112466.65000000,112466.66000000,112205.02000000,112291.81000000,211.14110000
1760186700000,112294.27000000,112388.91000000,112164.95000000,112380.14000000,272.15452000
1760187600000,112380.13000000,112500.00000000,112172.57000000,112499.99000000,209.48644000
1760188500000,112500.00000000,112500.00000000,112294.99000000,112345.98000000,178.89745000
1760189400000,112345.99000000,112377.06000000,111890.33000000,112180.95000000,303.80312000
1760190300000,112180.94000000,112340.00000000,112088.92000000,112267.86000000,281.29830000
1760191200000,112267.86000000,112342.11000000,112148.26000000,112205.97000000,152.49084000
1760192100000,112205.97000000,112291.31000000,111964.11000000,112039.41000000,231.69421000
1760193000000,112039.42000000,112200.00000000,111941.96000000,112070.37000000,218.22149000
1760193900000,112070.37000000,112093.30000000,111890.29000000,111991.97000000,456.14598000
1760194800000,111991.97000000,112385.93000000,111961.86000000,112282.58000000,177.44879000
1760195700000,112282.57000000,112366.01000000,112204.89000000,112204.91000000,134.20639000
1760196600000,112204.90000000,112228.40000000,111939.84000000,111939.85000000,142.60886000
1760197500000,111939.85000000,112069.98000000,111793.20000000,111793.20000000,197.38451000
1760198400000,111793.21000000,112089.92000000,111793.20000000,112059.61000000,188.78853000
1760199300000,112059.62000000,112063.32000000,111793.20000000,111806.29000000,179.05205000
1760200200000,111806.29000000,111849.42000000,111442.91000000,111516.51000000,279.88327000
