variant,horizon_bars,y_true,y_pred
thetaBiquatBasis,4,111075.16,116607.40093678134
raw,4,111131.38,110960.34
thetaBiquatBasis,4,111131.38,116606.90574203586
raw,4,111500.59,110954.7
thetaBiquatBasis,4,111500.59,116450.93645422015
raw,4,111524.87,110676.0
thetaBiquatBasis,4,111524.87,116398.39789229602
raw,4,111296.75,111075.16
thetaBiquatBasis,4,111296.75,116345.89310865491
raw,4,111583.92,111131.38
thetaBiquatBasis,4,111583.92,116314.1532480807
raw,4,111539.14,111500.59
thetaBiquatBasis,4,111539.14,116364.38357407007
raw,4,111700.38,111524.87
thetaBiquatBasis,4,111700.38,116424.44048104121
raw,4,111835.94,111296.75
thetaBiquatBasis,4,111835.94,116202.20709432487
raw,4,111933.62,111583.92
thetaBiquatBasis,4,111933.62,116050.29932513039
raw,4,111730.31,111539.14
thetaBiquatBasis,4,111730.31,115881.88540399118
raw,4,111686.01,111700.38
thetaBiquatBasis,4,111686.01,115940.20321920168
raw,4,111581.29,111835.94
thetaBiquatBasis,4,111581.29,115993.71689273036
raw,4,111616.39,111933.62
thetaBiquatBasis,4,111616.39,116027.92921144124
raw,4,111584.69,111730.31
thetaBiquatBasis,4,111584.69,115863.77140134119
raw,4,111525.2,111686.01
thetaBiquatBasis,4,111525.2,115862.42651704932
raw,4,111514.04,111581.29
thetaBiquatBasis,4,111514.04,115827.28076223857
raw,4,111762.09,111616.39
thetaBiquatBasis,4,111762.09,115783.11855442592
raw,4,111600.01,111584.69
thetaBiquatBasis,4,111600.01,115883.12922841418
raw,4,111310.9,111525.2
thetaBiquatBasis,4,111310.9,115961.045638652
raw,4,111200.52,111514.04
thetaBiquatBasis,4,111200.52,115744.36843748494
raw,4,111388.99,111762.09
thetaBiquatBasis,4,111388.99,115597.42783563715
raw,4,111620.35,111600.01
thetaBiquatBasis,4,111620.35,115447.99672825253
raw,4,111837.04,111310.9
thetaBiquatBasis,4,111837.04,115508.78976057898
raw,4,111851.24,111200.52
thetaBiquatBasis,4,111851.24,115543.1873370804
raw,4,111613.99,111388.99
thetaBiquatBasis,4,111613.99,115567.7020786714
raw,4,111584.69,111620.35
thetaBiquatBasis,4,111584.69,115405.0285464763
raw,4,111651.64,111837.04
thetaBiquatBasis,4,111651.64,115422.84218539318
raw,4,111863.78,111851.24
thetaBiquatBasis,4,111863.78,115432.30156695237
raw,4,111740.0,111613.99
thetaBiquatBasis,4,111740.0,115366.57992303776
raw,4,111985.0,111584.69
thetaBiquatBasis,4,111985.0,115478.51102713324
raw,4,111848.36,111651.64
thetaBiquatBasis,4,111848.36,115539.05271268668
raw,4,112134.48,111863.78
thetaBiquatBasis,4,112134.48,115284.22131787881
raw,4,112004.64,111740.0
thetaBiquatBasis,4,112004.64,115142.09118515106
raw,4,111838.41,111985.0
thetaBiquatBasis,4,111838.41,115004.76341952704
raw,4,111789.6,111848.36
thetaBiquatBasis,4,111789.6,115081.39592470556
raw,4,111928.53,112134.48
thetaBiquatBasis,4,111928.53,115123.55538180532
raw,4,111677.06,112004.64
thetaBiquatBasis,4,111677.06,115134.92445050215
raw,4,111818.31,111838.41
thetaBiquatBasis,4,111818.31,114953.31475187685
raw,4,111297.52,111789.6
thetaBiquatBasis,4,111297.52,114981.82790048409
raw,4,111416.49,111928.53
thetaBiquatBasis,4,111416.49,114989.44109656007
raw,4,111481.26,111677.06
thetaBiquatBasis,4,111481.26,114938.47464820583
raw,4,111399.68,111818.31
thetaBiquatBasis,4,111399.68,115043.73863061503
raw,4,112338.1,111297.52
thetaBiquatBasis,4,112338.1,115109.76743605823
raw,4,113218.53,111416.49
thetaBiquatBasis,4,113218.53,114843.23462565747
raw,4,113169.49,111481.26
thetaBiquatBasis,4,113169.49,114702.26926539853
raw,4,112671.65,111399.68
